metric,ref_baseline,ref_game-lora,base,baseline,game-lora,exp1,
HE-Dial,0.458,0.491,0.2012,0.2227,0.2891,0.3418,
HE-QA,0.376,0.445,0.3965,0.4062,0.377,0.377,
HE-Summ,0.438,0.500,0.3867,0.4014,0.3613,0.3887,
MemoTrap,0.642,0.650,,,,,
TFQA-MC1,0.252,0.263,0.2987,0.2729,0.2644,0.2717,
TFQA-MC2,0.401,0.412,0.4181,0.4124,0.4108,0.4128,
MMLU,0.477,0.469,0.4854,0.457,0.4805,0.4609,
NQ,0.066,0.067,0.0996,0.0918,0.0928,0.0898,
PopQA,0.111,0.112,0.1191,0.1201,0.1113,0.1025,
Winogrande,0.573,0.565,0.5654,0.5537,0.584,0.5527,
WikiText_BPB,0.784,0.786,0.8747,0.8733,0.9022,0.8945,
