metric,ref_baseline,ref_game-lora,base,baseline,game-lora,exp1,game-lora-step-1000,game-lora-step-400,base-new
HE-Dial,0.458,0.491,0.3613,0.2988,0.2891,0.3418,0.2871,0.2881,0.2871
HE-QA,0.376,0.445,0.3857,0.3867,0.377,0.377,0.3779,0.3799,0.8086
HE-Summ,0.438,0.500,0.3867,0.3711,0.3613,0.3887,0.3584,0.3701,0.3867
MemoTrap,0.642,0.650,,,,,,,
TFQA-MC1,0.252,0.263,0.2987,0.2729,0.2644,0.2717,0.2656,0.2778,0.2987
TFQA-MC2,0.401,0.412,0.4181,0.4124,0.4108,0.4128,0.41,0.4129,0.4181
MMLU,0.477,0.469,0.4854,0.457,0.4805,0.4609,0.4766,0.4756,0.4854
NQ,0.066,0.067,0.0996,0.0918,0.0928,0.0898,0.0908,0.0898,0.0996
PopQA,0.111,0.112,0.1191,0.1201,0.1113,0.1025,0.1123,0.1143,0.1191
Winogrande,0.573,0.565,0.5654,0.5537,0.584,0.5527,0.5859,0.5645,0.5654
WikiText_BPB,0.784,0.786,0.8747,0.8735,0.9022,0.8945,0.9068,0.9088,0.8747
